pattern,En,Cn
%blackshark%,BlackShark,黑鲨
%xiaomi%,Xiaomi,小米
%honor%,Honor,荣耀
%huawei%,Huawei,华为
%vivo%,vivo,vivo
% oppo %,OPPO,OPPO
%realme%,realme,realme
%oneplus%,OnePlus,一加
%nubia%,nubia,努比亚
zte%,ZTE,中兴
%meizu%,Meizu,魅族
%motorola%,Motorola,摩托罗拉
%lenovo%,Lenovo,联想
htc%,HTC,HTC
%nokia%,Nokia,诺基亚
toshiba%,Toshiba,东芝
%samsung%,Samsung,三星
%sony%,SONY,索尼
%apple%,Apple,苹果
%google%,Google,谷歌
%dell%,DELL,戴尔
%asus%,ASUS,华硕
aruba %,Aruba,Aruba
hp,HP,惠普
hewlett packard%,HP,惠普
acer%,Acer,宏碁
microsoft%,Microsoft,微软
micro-star %,MSI,微星
msi%,MSI,微星
%broadlink%,Broadlink,博联
philips%,Philips,飞利浦
panasonic%,Panasonic,松下
%xiaodu%,Xiao Du,小度
%baidu%,Baidu,百度
%tmall%,Tmall,天猫
%hikvision%,Hikvision,海康威视
%tcl%,TCL,TCL
bull group%,BULL,公牛
%bull digital,BULL,公牛
tp-link,TP-LINK,TP-LINK
d-link%,D-Link,D-Link
%dji%,DJI,大疆
lg,LG,LG
lg %,LG,LG
%ezviz%,EZVIZ,萤石
yeelink%,yeelink,yeelink
%epson%,EPSON,爱普生
canon%,Canon,佳能
nintendo%,Nintendo,任天堂
%dahua%,Dahua,大华
%uniview%,Uniview,宇视
%tiandy%,TIANDY,天地伟业
intel,Intel,英特尔
intel %,Intel,英特尔
shenzhen fast,FAST,迅捷
%mercury%,Mercury,水星
tenda%,Tenda,腾达
netcore,netcore,磊科
netgear,NETGEAR,网件
edup%,EDUP,翼联
%zidoo%,ZIDOO,芝杜
%synology%,Synology,群晖
%qnap%,QNAP,威联通
%h3c%,H3C,H3C
inspur%,Inspur,浪潮
%skyworth%,Skyworth,创维
%xgimi%,XGIMI,极米
%holatek%,JMGO,坚果
noon,TerraMaster,铁威马
%broadcom%,Broadcom,博通
%realtek%,REALTEK,瑞昱
hitachi%,Hitachi,日立
ibm%,IBM,IBM
%fujitsu%,Fujitsu,富士通
siemens%,Siemens,西门子
schneider %,Schneider,施耐德
mediatek,MediaTek,联发科
amazon%,Amazon,亚马逊
texas instruments,TI,德州仪器
hon hai precision industry,Foxconn,富士康